话术	垂类	意图	标签
0:00叫我	alerts	ALART_ADD	<TIME>0:00</TIME>
0:10的闹钟	alerts	ALART_ADD	<TIME>0:10</TIME>
0:20叫我起床	alerts	ALART_ADD	<TIME>0:20</TIME><ALART_EVENT>起床</ALART_EVENT>
0:30叫醒我哟	alerts	ALART_ADD	<TIME>0:30</TIME>
0:39的闹钟取消	alerts	ALART_DEL	
0:40提醒我收割	alerts	ALART_ADD	<TIME>0:40</TIME><ALART_EVENT>收割</ALART_EVENT>
0:45的闹钟	alerts	ALART_ADD	<TIME>0:45</TIME>
0:51叫我	alerts	ALART_ADD	<TIME>10:51</TIME>
0:零十	chat		
000670股票	stock		
000723股票怎么样	stock		
000725股价多少	stock		
002049股票怎么样	stock		
005007片头专辑	music	MUSIC_GENERAL_PLAY	<MOVIE_TV_NAME>007</MOVIE_TV_NAME><MOVIE_TV_MUSIC_TYPE>片头</MOVIE_TV_MUSIC_TYPE>
015等于多少	calculator		
020定个14:20闹钟	alerts	ALART_ADD	<TIME>14:20</TIME>
02yde2a唱这首歌	music	MUSIC_GENERAL_PLAY	<SINGER>beyond</SINGER>
080现在几点啦	time	ASK_TIME	
1.05分	chat		
1.05分闹钟	alerts	ALART_ADD	<TIME>1.05</TIME>
1.25倍播放速度	alerts	ALART_ADD	<ALART_EVENT>播放速度</ALART_EVENT><TIME>1：25</TIME>
1.3218分的时候叫我	alerts	ALART_ADD	<TIME>1.32分</TIME>
1.5下午1:50的	alerts	ALART_ADD	<PERIOD>下午</PERIOD><TIME>1:50</TIME>
1:10叫我	alerts	ALART_ADD	<TIME>1:10</TIME>
1:2和一比	chat		
1:45叫我起床	alerts	ALART_ADD	<PERIOD>1:45</PERIOD><ALART_EVENT>起床</ALART_EVENT>
1+1活动2号多	alerts	ALART_ADD	<ALART_EVENT>1+1活动</ALART_EVENT><DATE>2号</DATE>
10.01分	chat		
10.05分	chat		
10.411:40叫我	alerts	ALART_ADD	<TIME>11:40</TIME>
10/10分钟之后提醒我	alerts	ALART_ADD	<DURATION>10:10分钟之后</DURATION>
10:02叫我起床	alerts	ALART_ADD	<TIME>10:02</TIME><ALART_EVENT>起床</ALART_EVENT>
10:02了提醒我	alerts	ALART_ADD	<TIME>10:02</TIME>
10:03叫我	alerts	ALART_ADD	<TIME>10:03</TIME>
10:05叫我	alerts	ALART_ADD	<TIME>10:05</TIME>
10:05提醒我关火	alerts	ALART_ADD	<TIME>10:05</TIME><ALART_EVENT>关火</ALART_EVENT>
10:05提醒我睡觉	alerts	ALART_ADD	<TIME>10:05</TIME><ALART_EVENT>睡觉</ALART_EVENT>
10:08叫我	alerts	ALART_ADD	<TIME>10:08</TIME>
10:08叫我起床	alerts	ALART_ADD	<TIME>10:08</TIME><ALART_EVENT>起床</ALART_EVENT>
10:09叫我起床	alerts	ALART_ADD	<TIME>10:09</TIME><ALART_EVENT>起床</ALART_EVENT>
10:10的闹钟	alerts	ALART_ADD	<TIME>10:10</TIME>
10:10的时候请提醒我	alerts	ALART_ADD	<TIME>10:10</TIME>
